gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4710	GO:0005575	1	GO:0005575	GO:0005575	GO:0005575	GO:0005575
Pa_6_4710	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_6_4710	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4720	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4720	GO:0005739	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4720	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4720	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4720	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4720	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_6_4730	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4730	GO:0005739	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4730	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4730	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4730	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_6_4740	GO:0003677	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003677
Pa_6_4740	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4740	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_6_4740	GO:0016779	5	GO:0003824	GO:0016740	GO:0016772	GO:0016779
Pa_6_4750	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4750	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4750	GO:0006996	5	GO:0009987	GO:0071840	GO:0016043	GO:0006996
Pa_6_4750	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4750	GO:0019725	5	GO:0009987|GO:0065007	GO:0065008	GO:0042592	GO:0019725
Pa_6_4784	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4786	GO:0000166	5	GO:0005488	GO:0036094|GO:1901363|GO:0097159	GO:1901265	GO:0000166
Pa_6_4786	GO:0005388	9	GO:0005215	GO:0022857	GO:0022804|GO:0015318|GO:0015075	GO:0015399|GO:0022853|GO:0008324
Pa_6_4786	GO:0005524	9	GO:0005488	GO:0008144|GO:0097367|GO:0036094|GO:0043167|GO:1901363|GO:0097159	GO:1901265|GO:0043168	GO:0035639|GO:0000166
Pa_6_4786	GO:0006811	5	GO:0051179	GO:0051234	GO:0006810	GO:0006811
Pa_6_4786	GO:0006816	9	GO:0051179	GO:0051234	GO:0006810	GO:0006811
Pa_6_4786	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_6_4786	GO:0016021	4	GO:0110165	GO:0031224	GO:0016021	GO:0016021
