Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_6_495	-0.49	-0.33	-0.61	0.19	0.21	0.07	-0.07	-0.23	0.77	3.44
Pa_6_540	0.66	2.04	0.12	-0.22	-0.12	-0.13	-0.65	-1.17	1.36	4.77
Pa_6_6880	-0.19	0.18	-1.52	-0.86	0.43	-0.12	0.27	-0.08	0.08	1.38
Pa_6_7220	0.18	0.12	0.14	-0.39	-0.12	-0.14	-0.32	-0.14	0.53	2.28
Pa_6_7650	-0.33	0.17	0.21	0.04	-0.08	-0.04	-0.09	-0.15	0.79	3.64
Pa_6_8050	0.27	0.08	-0.09	-0.11	0.14	-0.1	0.33	-0.08	-0.23	2.35
Pa_6_8060	-0.12	0.11	0.05	0.14	-0.08	0.08	-0.16	-0.25	-0.05	4.38
Pa_6_8450	0.01	0.19	-0.2	-0.15	0	0	-0.31	-0.31	0.04	6.94
Pa_6_8760	-0.09	-0.09	-0.22	0.41	0.57	0.38	0.09	-0.15	-0.34	4.99
Pa_6_8780	0.72	0.83	-0.21	-0.3	-0.19	-0.21	-0.22	0.19	0.89	2.3
Pa_6_9010	-0.56	-0.25	-0.22	-0.39	0.39	-0.03	0.25	0.03	0.24	3.35
Pa_6_9280	0.4	1.16	-0.16	-0.2	0.01	0.16	-0.29	-1.03	-0.01	1.83
Pa_7_10220	0.29	0.06	-0.12	-0.08	-0.15	-0.06	-0.23	0.06	0.39	2.96
Pa_7_1050	0.28	0.25	0.02	-0.29	-0.02	0.08	-0.07	-0.02	-0.29	5.32
Pa_7_1060	1.47	2.22	0.07	-0.11	-0.14	0.5	-0.07	-0.17	-0.47	3.41
Pa_7_1300	-0.46	-0.34	0.35	0.72	0.93	0.07	-0.07	-0.7	-0.61	3.39
Pa_7_1580	-0.09	-0.19	-0.35	-0.2	-0.06	0.06	0.07	0.07	0.11	6.36
Pa_7_3030	0.01	0.18	0.01	-0.12	0.03	-0.01	-0.06	-0.17	-0.12	5.63
Pa_7_3530	-0.02	0.62	0.11	-0.6	0.02	0.49	-0.5	-1.01	-0.3	1.56
Pa_7_3670	-0.6	-0.2	0.04	-0.04	0.26	1.03	0.09	-0.87	-0.14	6.29
